row_number,mth,Dint,age,female,male,Dtol,div,Dkli,Dmco,Dmco1,Dmco2,Dmco3,cov,TI,QI,MCI,GIS
224,2020-03,0,75,288,637,0,14,1,1,1,0,0,88,,,,
225,2020-03,0,76,344,643,0,15,1,1,1,0,0,88,,,,
226,2020-03,0,77,272,655,0,15,1,1,1,0,0,88,,,,
227,2020-03,0,78,251,532,0,15,1,1,1,0,0,88,,,,
228,2020-03,0,79,237,578,0,15,1,1,1,0,0,88,,,,
229,2020-03,0,80,171,418,0,15,1,1,1,0,0,88,,,,
230,2020-03,0,81,151,443,0,15,1,1,1,0,0,88,,,,
231,2020-03,0,82,122,299,0,15,1,1,1,0,0,88,,,,
232,2020-03,0,83,104,216,0,13,1,1,1,0,0,88,,,,
233,2020-03,0,84,68,158,0,14,1,1,1,0,0,88,,,,
234,2020-03,0,85,67,128,0,15,1,1,1,0,0,88,,,,
235,2020-03,0,86,47,94,0,13,1,1,1,0,0,88,,,,
236,2020-03,0,87,42,65,0,14,1,1,1,0,0,88,,,,
237,2020-03,0,88,16,54,0,14,1,1,1,0,0,88,,,,
238,2020-03,0,89,18,51,0,14,1,1,1,0,0,88,,,,
239,2020-03,0,90,9,33,0,12,1,1,1,0,0,88,,,,
240,2020-03,0,91,9,22,0,13,1,1,1,0,0,88,,,,
241,2020-03,0,92,9,11,0,13,1,1,1,0,0,88,,,,
242,2020-03,0,93,5,3,0,9,1,1,1,0,0,88,,,,
243,2020-03,0,94,2,3,1,7,1,1,1,0,0,88,,,,
244,2020-03,0,95,2,2,0,10,1,1,1,0,0,88,,,,
245,2020-03,0,96,4,2,0,7,1,1,1,0,0,88,,,,
246,2020-03,0,97,0,4,0,4,1,1,1,0,0,88,,,,
247,2020-03,0,98,0,2,0,10,1,1,1,0,0,88,,,,
248,2020-03,0,101,0,1,0,1,1,1,1,0,0,88,,,,
249,2020-03,0,103,0,1,0,1,1,1,1,0,0,88,,,,
250,2020-04,0,18,5,10,0,12,1,1,1,0,0,108,,,,
251,2020-04,0,19,36,125,1,14,1,1,1,0,0,108,,,,
252,2020-04,0,20,90,300,1,15,1,1,1,0,0,108,,,,
253,2020-04,0,21,113,471,1,16,1,1,1,0,0,108,,,,
254,2020-04,0,22,154,602,1,14,1,1,1,0,0,108,,,,
255,2020-04,0,23,314,"1,072",1,15,1,1,1,0,0,108,,,,
256,2020-04,0,24,465,"1,422",1,17,1,1,1,0,0,108,,,,
257,2020-04,0,25,547,"1,771",1,16,1,1,1,0,0,108,,,,
258,2020-04,0,26,741,"2,318",1,17,1,1,1,0,0,108,,,,
259,2020-04,0,27,851,"2,686",1,16,1,1,1,0,0,108,,,,
260,2020-04,0,28,945,"2,774",1,17,1,1,1,0,0,108,,,,
261,2020-04,0,29,"1,057","2,909",1,19,1,1,1,0,0,108,,,,
262,2020-04,1,30,"1,085","3,223",1,17,1,1,1,0,0,108,,,,
263,2020-04,1,31,"1,116","3,001",1,18,1,1,1,0,0,108,,,,
